ESPNcricinfo staff | He will stay with the team for the T20 matches against India which follow the tournament
ESPNcricinfo staff | Somerset saved by rain as DLS calculations unable to kick in before deluge
 | Hannah Jones, Alex Hartley set up DLS win as Southern Brave lose unbeaten record
ESPNcricinfo staff | Unbeaten 156-run stand puts total out of reach of visitors in 87-run victory
ESPNcricinfo staff | The five-match T20I series will happen first now. The original schedule had the tour starting with three ODIs
Sidharth Monga | Kohli falls for a golden duck in visitors' mini-collapse of 4 for 28
Firdose Moonda | His comments come in response to testimony given by ex-selector Hussein Manack on the lead-up to the Wanderers Test against England in 2015-16
George Dobell | The England seamer will play no part in the Test series against India, the T20 World Cup or the Ashes
Matt Roller | Injuries have parched him of steady opportunities but he has been able play more consistently since the start of the 2020-21 BBL
Andrew McGlashan | Australia vice-captain says the WBBL is expected to go ahead as scheduled after the multi-format international assignment
ESPNcricinfo staff | Maddinson has signed a three-year deal and Ferling a one-year contract
Sidharth Monga | Get your dose of analysis, stats and colour from Trent Bridge on ESPNcricinfo's live blog
ESPNcricinfo staff | The tour starts with three ODIs in Rawalpindi on September 17 and culminates with five T20Is in Lahore. 
Andrew McGlashan | Other than Mitchell Marsh the visitors have struggled to find answers to Bangladesh's attack
ESPNcricinfo staff | Hosts join Hundred front runners with six-wicket victory over Invincibles in Edgbaston run-fest
George Dobell | But batting coach refuses to make excuses for first-innings 183 all out
Sreshth Shah | Henriques praises Mustafizur's skills in restricting Australians
ESPNcricinfo staff | Wood's 55-ball ton is Derbyshire's fastest in List A as Harry Came chimes in with half-century
Sidharth Monga | Openers Rohit Sharma and KL Rahul then saw their side safely through to stumps
ESPNcricinfo staff | Visitors master run-chase at Edgbaston with skipper's 67* as she and Farrant share five wickets
ESPNcricinfo staff | Hosts win with 61 balls to spare, thanks to half-centuries from Nick Gubbins, Tom Alsop
Danyal Rasool | Pakistan's focus now on the Tests, says the pacer, with the series being a key one for his side in the new World Test Championship cycle
ESPNcricinfo staff | Marchant de Lange returns to Somerset as Wahab Riaz links up with Trent Rockets
ESPNcricinfo staff | ZC has now set August 19 as the new departure date, subject to government clearance
Andrew McGlashan | Mustafizur Rahman had earlier played a key role in keeping Australia to just 121 for 7
Andrew McGlashan | There was 24% fall in participation during the pandemic hit 2020-21 season
Sidharth Monga | Get your dose of analysis, stats and colour from Trent Bridge on ESPNcricinfo's live blog
ESPNcricinfo staff | Pioneering figure to receive permanent memorial, five years after her death in 2017
ESPNcricinfo staff | The series will be part of the teams' preparations for the T20 World Cup, which will be held from October 17 to November 14 in UAE and Oman
Matt Roller | Jos Buttler, whose second child is expected in early September, doesn't expect to be available for Rajasthan Royals 
Matt Roller | Mujeeb Ur Rahman grabbed 2 for 6 off his 20 balls after Willey's 81* and 2 for 9
George Dobell | Several batters haven't batted in a first-class match for months
ESPNcricinfo staff | Visitors indebted to Luke Hollman's four wickets, Sam Robson's 76 as Danny Lamb threatens to steal game
ESPNcricinfo staff | Wicketkeeper Jess McFadyen and seamer Claudia Green called up for tour of three T20Is and five ODIs
ESPNcricinfo staff | Eagles reach target off last ball as Aron Nijjar's rapid 32 sees them home 
ESPNcricinfo staff | Waite contributes with bat and ball after fifties to Tattersall, Hill and Ballance set Yorkshire up
Matt Roller | Tammy Beaumont played anchor for hosts, as Jemimah Rodrigues' fifty went in vain for visitors
Firdose Moonda | "We, as CSA, literally killed the careers of these two gentlemen"
ESPNcricinfo staff | Surrey suffer rare shocker in five-wicket defeat, with only Clarke standing firm
Nagraj Gollapudi | "It all boils down to execution in crunch moments," says India captain
Varun Shetty | It's a battle of two top bowling attacks, but both teams are still mulling their top-order combinations
Hemant Brar | Shaheen Shah Afridi was rested again by the visitors
George Dobell | England seamer says he struggled after calf problem forced him out of 2019 Ashes
Matt Roller | England brace for update this week on fast bowler's elbow injury
Andrew McGlashan | The 1994 tour to Pakistan was the last time a full series was not available to viewers in Australia
Sreshth Shah | On a tough pitch to bat on, the visitors slipped to a 23-run defeat chasing a modest 132 for victory
ESPNcricinfo staff | Australian to play primarily as a batter, and is expected to be with the club for the full season
Umar Farooq | A PhD from the University of Sydney, he is an expert injury epidemiologist and sports scientist
ESPNcricinfo staff | The experienced batter, who has 1192 runs in 59 BBL matches, has signed with Stars until the end of the 2023-24 season
Matt Roller | Insists Hundred is 'really important' for young players who called up as replacements from Royal London Cup
ESPNcricinfo staff | The development will allow players from England and Bangladesh to play in the IPL when it resumes in September 
ESPNcricinfo staff | Khadka was a talismanic figure in Nepal and the longest-serving captain in Associate Cricket before resigning in 2019
Andrew McGlashan | A recap of some of those needing to impress the selectors over the five matches against Bangladesh
Matt Roller | Ben Duckett's battling 65 in vain as Fire struggle against spin on slow surface
Matt Roller | Matthews claims three as hosts are restricted to 100 for 9 in 12-run defeat
Matt Roller | Ian Harvey expected to be in running for permanent head coach role
Firdose Moonda | "A person knows when they are welcome, and you know when you are unwelcome"
George Dobell | England captain recognises allrounder is irreplaceable as first Test looms
Matt Roller | Lions seamer returns to home county after nine seasons at Lord's
ESPNcricinfo staff | Ajinkya Rahane, who had a hamstring niggle, has been cleared to play the first Test
Matt Roller | Welsh Fire extend Jimmy Neesham's contract in their absence
Umar Farooq | The hosts could be without their first-choice opening pair of Lendl Simmons and Evin Lewis
ESPNcricinfo staff | Mahmudullah on the positive side of biosecure bubbles: "You can spend more time with your team-mates, discuss plans and strategies"
George Dobell | The teams were scheduled to play three ODIs and three T20Is in September-October
ESPNcricinfo staff | The franchise has got a new logo as well
Andrew McGlashan | Mitchell Marsh's recent success and the possible return of Steven Smith have added to the crush at the top of the order
Andrew McGlashan | The home side is missing some senior figures, but the visitors are somewhat depleted too
Matt Roller | Tymal Mills also miserly as Spirit stumble despite highest Powerplay score of tournament
ESPNcricinfo staff | Derbyshire regroup from 8 for 4 but have no answer to attacking innings in chase
ESPNcricinfo staff | Matthew Revis' unbeaten half-century in vain as Yorkshire are undone in Taunton
ESPNcricinfo staff | Rookie batter rallies Sussex's tail to turn a rout in an agonising three-run loss
ESPNcricinfo staff | Brett D'Oliveira leads spirited reply in high-scoring duel at New Road
ESPNcricinfo staff | Unbeaten 66 seals easy victory in rain-affected run-chase
Matt Roller | London Spirit became the first team to be bowled out in the women's Hundred
George Dobell | Belligerent opening stand with Finn Allen turns a taxing chase into a saunter at Edgbaston
 | Kent remain winless after being skittled for only 158 at Chelmsford
 | Only 20.2 overs required for home side to chase down meagre target
ESPNcricinfo staff | The ICC, however, might not be able to do much in this case, because the approval has come from the home board, the PCB
Himanshu Agrawal | Only six minutes of play possible after West Indies opt to bat
Matt Roller | He suffered a quadriceps tear during a run of five T20 games in the space of eight days
George Dobell | Issy Wong taken out of attack as Birmingham Phoenix see another game slip away
Annesha Ghosh | Bangladesh head coach says he does not expect big turning tracks in his side's bid to register their first T20I series win over Australia
Andrew McGlashan | He hopes for more opportunity with the ball during the five-match T20I series in Bangladesh
Andrew McGlashan | New selection chief will play a key role in picking squads for the T20 World Cup and Ashes
Andrew McGlashan | Trevor Hohns steps down having served collectively on the selection panel for 21 years
ESPNcricinfo staff | London Spirit coach and another unnamed member of management team go into self-isolation
Matt Roller | Lynn makes run-a-ball 48, and Roy bats through for 53 not out, in low-scoring dogfight
 | Allrounder anchors innings before contributing to tigerish defence of low total
Andrew Miller | Taxing but obtainable target of 151 hunted down with five balls to spare in Cardiff
Sreshth Shah | Mohammad Rizwan made 46 before Mohammad Hafeez helped seal a seven-run victory with 4-1-6-1 against West Indies
Firdose Moonda | The new board has advertised the CEO's position, with applications due to close on July 31

Matt Roller | General public banned from bringing in bottles and cans, and restrictions at bars in ground
 | Manchester Originals still winless despite Sophie Ecclestone's all-round efforts
Umar Farooq | The Pakistan board has expressed displeasure at reports that its Indian counterpart is trying to prevent players from joining the tournament
Andrew Fidel Fernando | He will continue to play domestic cricket, and will be available for franchise tournaments
Umar Farooq | Asadullah Khan claims squad for ODI series against Pakistan was selected without his knowledge
Danyal Rasool | The 22-year old has been ruled out of the second and third T20I against West Indies
Alan Gardner | Spinner looking for "as many games as possible" having not played home Test since 2019
Alan Gardner | Captain's classy 60 sets up nervy chase as Brave enjoy home comforts against Phoenix
Deivarayan Muthu | The former India offspinner says his priority is to revive the side's Ranji Trophy fortunes
Matt Roller | The England and Northern Superchargers batter said she wants to be a role model for younger fans on the field and off it
Firdose Moonda | Contrary to local reports, ESPNcricinfo understands Boucher has not taken legal action against those who mentioned him in their testimonies
Alan Gardner | Birmingham Phoenix struggle to contain home side after posting solid 140 for 4
Matt Roller | Craig Overton replaces the allrounder in the squad for five Tests against India
Andrew Fidel Fernando | They will not be allowed to play domestic cricket for six months, ruling them out for much of the next season
